title,price,url,brand,badges,sale_price,image
Hario V60 Measuring Scoop-White,5.0,https://prima-coffee.com/equipment/hario/m-12w-hario-sp,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10199/images/92140/hario-v60-coffee-scoop-1__12093.1625147073.1280.1280.jpg?c=1
Yama Bamboo Stir Stick for Siphon Brewing,5.0,https://prima-coffee.com/equipment/yama/es-1,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8073/images/88810/yama-bamboo-stick-wbg__66549.1597180596.1280.1280.jpg?c=1
"Hario Coffee Brown Paper Filter Size 02 for V60 Brewer, 40 Count (Un-tabbed)",6.0,https://prima-coffee.com/equipment/hario/vcf-02-40m-hario-sp,Hario,"['Recommended', 'Subscription']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11070/images/94123/hario-v60-40count-wbg__47220.1721912594.1280.1280.jpg?c=1
Hario Paper Siphon Filters - 100 Pack,6.19,https://prima-coffee.com/equipment/hario/cf-103e,Hario,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7979/images/88497/IMG_1611__11962.1597179723.1280.1280.jpg?c=1
1 oz. Coffee Scoop - 1 dozen,6.99,https://prima-coffee.com/equipment/rattleware/03717-rattl-sp,Rattleware,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7588/images/87256/espresso-supply-03717-coffee-scoop-1oz-1dozen-wbg__75946.1597175992.1280.1280.jpg?c=1
"Hario F-103S Filter for TCA, NXA, or SCA Series Syphons",6.99,https://prima-coffee.com/equipment/hario/f-103s-hario-sp,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8081/images/88840/hario-f-103s-cloth-siphon-filter-bottom__43817.1597180672.1280.1280.jpg?c=1
"Yama Coffee Syphon / Siphon Vacuum Pot Filters, Set of 5",9.5,https://prima-coffee.com/equipment/yama/cp-1,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8014/images/88612/yama-cp1-coffee-syphon-filters-setof5-wbg__42946.1701966189.1280.1280.jpg?c=1
Hario V60 Coffee Dripper Size 01,10.0,https://prima-coffee.com/equipment/hario/v60-01,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8439/images/90500/hario-v60-01-dripper-ceramic-white__05466.1601493621.1280.1280.jpg?c=1
Hario Paper Filter Holder for Siphons - with 50 Filters,11.0,https://prima-coffee.com/equipment/hario/f-103mn,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8080/images/88838/IMG_1607__20197.1597180667.1280.1280.jpg?c=1
Hario V60 Coffee Dripper Size 02,11.0,https://prima-coffee.com/equipment/hario/v60-02,Hario,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8440/images/90515/hario-v60-02-dripper-ceramic-white__68615.1600452350.1280.1280.jpg?c=1
