title,price,url,brand,badges,sale_price,image
Hario V60 Coffee Dripper Size 02,$11.00,https://prima-coffee.com/equipment/hario/v60-02,Hario,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8440/images/90515/hario-v60-02-dripper-ceramic-white__68615.1600452350.1280.1280.jpg?c=1
Bee House Ceramic Coffee Dripper,$19.99,https://prima-coffee.com/equipment/zero-japan/bkk-15l-wh,Zero Japan,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8721/images/88249/beehouse-dripper-yellow__67300.1597179148.1280.1280.jpg?c=1
Chemex 8 Cup Coffee Maker - Classic & Glass Handle Styles,$48.93,https://prima-coffee.com/equipment/chemex/8-cup-chemex,Chemex,['On Sale'],$51.50,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7777/images/87732/chemex-8-cup-classic__01929.1597177527.1280.1280.jpg?c=1
Chemex 6 Cup Coffee Maker - Classic & Glass Handle Styles,$47.03,https://prima-coffee.com/equipment/chemex/6-cup-chemex,Chemex,['On Sale'],$49.50,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7762/images/87684/chemex-6-cups-classic__15623.1597177401.1280.1280.jpg?c=1
notNeutral - GINO Glass Coffee Dripper,$24.00,https://prima-coffee.com/equipment/notneutral/gino-dripper,notNeutral,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8126/images/89062/notneutral-gino-dripper__56459.1597181209.1280.1280.jpg?c=1
Origami Dripper - Medium,$40.00,https://prima-coffee.com/equipment/origami-japan/od-m-sl-po-pp,Origami Japan,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11143/images/94459/Origami-Dripper-WBG-4__01322.1666882270.1280.1280.jpg?c=1
Hario V60 Coffee Dripper Size 01,$10.00,https://prima-coffee.com/equipment/hario/v60-01,Hario,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8439/images/90500/hario-v60-01-dripper-ceramic-white__05466.1601493621.1280.1280.jpg?c=1
Espro BLOOM Pour Over Coffee Dripper,$34.95,https://prima-coffee.com/equipment/espro/7018-bs-gr-espro-sp,Espro,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10037/images/91512/espro-bloom-wbg-4__26499.1609943621.1280.1280.jpg?c=1
Hario Switch V60 Immersion Dripper,$44.50,https://prima-coffee.com/equipment/hario/ssd-200-b-hario-pp,Hario,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10095/images/91827/hario-switch-wbg-1__23989.1617909521.1280.1280.jpg?c=1
Tricolate Coffee Brewer,$52.99,https://prima-coffee.com/equipment/tricolate/trcltbrwr-trico-sp,Tricolate,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10088/images/92196/new-tricolate-web-6__25091.1646851195.1280.1280.jpg?c=1
